bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
2,Hasbro,,,GI Joe,20.5,"Oct 10, 2019",3.75in.,GI Joe Battle Corps Combat Frostbite Arctic Commander 1992,Action Figure,1992
1,Kenner,,1980-2001,,0.99,"Oct 10, 2019",,1998 STARTING LINEUP - SLU - NHL - JAROMIR JAGR - PITTSBURGH PENGUINS ,Action Figure,1998
11,Kenner,8D8,1980-2001,Star Wars,9.5,"Oct 10, 2019",3.75in.,Vintage 1983 Kenner Star Wars ROTJ Lot 8D8 Jabba The Hutt Droid Complete No COO,Action Figure,1983
1,New-Ray Toys Co. Ltd.,,,,15.0,"Oct 10, 2019",3in.,New Ray Western Rodeo Champion Cowboy Plastic Action Figures ,Action Figure,2005
0,Hasbro,The Mandalorian,2019,Star Wars,55.99,"Oct 10, 2019",6in.,IN Stock! Star Wars The Black Series First Edition 6 Inch The Mandalorian #94,Action Figure,2019
12,DC Collectibles,,,,26.0,"Oct 10, 2019",6in.,DC Collectibles Batman The Animated Series NEW ADVENTURES BATMAN Complete Mint,Action Figure,
0,,,,Teenage Mutant Ninja Turtles,14.99,"Oct 10, 2019",,TMNT Ninja Turtles Next Mutation Raphael Raph ,Action Figure,
0,JAKKS Pacific,,2002-Now,WWE,9.99,"Oct 10, 2019",7in., WWE Wrestling Jakks Classic Superstars Series 5 Paul Orndorff Figure No Robe,Action Figure,
2,Hasbro,,,Gi  Joe,8.5,"Oct 10, 2019",3.75in.,Vintage 1988 GI JOE Cobra Astro-Viper Figure COMPLETE With Accessories Hasbro,Action Figure,
2,Star Wars,,,,10.51,"Oct 10, 2019",,Vintage Star Wars Cloud Car Pilot w/Blaster Action Figure,Action Figure,
1,Kenner,Batman,1980-2001,DC Universe,0.01,"Oct 10, 2019",4.5in.,"BATMAN THE DARK KNIGHT 4.5"" ACTION FIGURE KENNER IN GOOD CONDITION! DC COMICS!",Action Figure,
13,Muppet Series 2,,,,20.0,"Oct 10, 2019",,Swedish Chef & Camilla The Muppets Action Figure 2-Pack Diamond Select Toys,,
0,Hasbro,Bumblebee,2002-Now,Transformers,19.99,"Oct 10, 2019",deluxe,TRANSFORMERS The Last Knight BUMBLEBEE Premier Edition Deluxe Class NEW,Action Figure,2015
2,JAKKS Pacific,,,,46.0,"Oct 10, 2019",,Jakks Pacific World of NINTENDO - Falco Lombardi (Star Fox) Action Figure SEALED,Action Figure,
5,Marvel Legends,Quicksilver,2002-Now,Marvel Universe,17.5,"Oct 10, 2019",6in.,Marvel Legends Avengers Custom Classic Quicksilver Rare ,Action Figure,
15,DC,,,,17.0,"Oct 10, 2019",6in.,DC Multiverse Rookie Series BATWING Complete Mint mech suit set batman universe,Action Figure,
