bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
0,Kenner,"TV, Movie & Video Games",Patrol Dewback,Used,,Star Wars ANH,,173993327071,92.45,1,"Oct 13, 2019",3.75in.,"Vintage Star Wars ANH 1979 Dewback w/Stormtrooper *Very Nice* ""Complete"" Kenner",Action Figure,1979
0,Mezco,"TV, Movie & Video Games",John Wick,New,2002-Now,John Wick,,303300766262,164.99,1,"Oct 13, 2019",6in.,PREORDER Mezco One:12 Exclusive John Wick Deluxe Edition Keanu Reeves,Action Figure,2019
0,Hasbro,"TV, Movie & Video Games",Luke Skywalker,New,2002-Now,Star Wars,,193156704553,39.99,1,"Oct 13, 2019",6in.,Star Wars The Black Series 6” LUKE (#12) & HAN (#09) STORMTROOPER DISGUISE 2014,Action Figure,2014
0,Kenner,"TV, Movie & Video Games",Imperial Trooper,Used,Pre-1980,Star Wars,,254361956287,28.15,1,"Oct 14, 2019",3.75in.,Star Wars Vintage Figure Emperors Royal Guard Complete 1983 LFL HK NM,Action Figure,1977
0,Mattel,"TV, Movie & Video Games",,New,2002-Now,,,312729407066,31.99,1,"Oct 14, 2019",6in.,WWE Battle Pack Series 24 NAOMI & CAMERON Funkadactyls Green Outfits New NIB,Action Figure,2013
0,SH S.H. Figuarts,Anime & Manga,,New,,,,153522857674,68.4,7,"Oct 14, 2019",,SH S.H. Figuarts Tony Stark Iron Man 3 BANDAI ,,
0,Unbranded,Designer & Urban Vinyl,KAWS Companion,New,,KAWS Companion,,274046326475,118.0,1,"Oct 14, 2019",12in.,KAWS Companion Open Edition MEDICOM TOY Vinyl FIGURE BLACK FLAYED Anatomical NEW,Action Figure,2019
0,Mattel,Sports,Mojo Rawley,Used,2002-Now,WWE,,113918507142,13.99,1,"Oct 14, 2019",7in.,WWE Elite Mattel Randy Orton 35 Evolution Figure,Action Figure,
0,Hasbro,Military & Adventure,,Used,1980-2001,GI Joe,,293272338943,17.5,1,"Oct 14, 2019","3.75""",Vintage Hasbro GI Joe ARAH 1988 Figure LIFELINE NICE V2 Tiger Force Smi,Action Figure,1988
0,DC Collectibles,Comic Book Heroes,Superhero,New,,Batgirl,,143348155228,17.99,1,"Oct 14, 2019",,BRAND NEW BATGIRL ACTION FIGURE           DC COMICS BATMAN ANIMATED ADVENTURES,Action Figure,
