,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
0,1,Hasbro,Military & Adventure,Overkill,Used,,GI Joe,,143403454443,5.99,1,"Oct 12, 2019",3.75in.,1992 GI Joe Overkill (v1) Talking Battle Commanders Action Figure! Hasbro! Works,Action Figure,1992
1,0,Hasbro,Military & Adventure,Road Pig,New,1980-2001,GI Joe,,192933991310,40.0,1,"Oct 12, 2019",3.75in.,GI Joe Sonic Fighters ROAD PIG Collectors Club FSS Final 12 MOC Star Case JTC,Action Figure,2019
2,9,Mattel,Sports,,New,,,,303312623335,40.0,1,"Oct 12, 2019",,WWE Exclusive Liv Morgan Elite Action Figure ,Action Figure,
3,0,21st Century Toys,Military & Adventure,Huey,Used,,Ultimate Soldier,,113916859329,45.5,1,"Oct 12, 2019",4in.,21st century toys 1 18 Huey Pilot,Action Figure,
4,0,McFarlane Toys,"TV, Movie & Video Games",,New,2002-Now,,,264318985546,22.99,1,"Oct 12, 2019",6in.,2002 McFarlane's Monsters Frankenstein Series 1 New In Package,Action Figure,2002
5,1,Hasbro,Military & Adventure,,Used,,GI Joe,,254382610990,2.0,1,"Oct 12, 2019",3.75in.,GI Joe Cobra Rock Viper Vintage Action Figure ARAH Loose,Action Figure,1984
6,0,DC Collectibles,"TV, Movie & Video Games",Batgirl,New,,Batman,,123932210147,40.0,1,"Oct 12, 2019",,Batman vs TMNT - Batgirl - Gamestop Exclusive,Action Figure,
7,19,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,133195959610,30.0,1,"Oct 12, 2019","6""",6 Inch 2018 General Veers Walgreens Exclusiv Figure Star Wars Black Series LOOSE,Action Figure,2016
8,0,Playmates Toys,"TV, Movie & Video Games",Rocksteady,Used,1980-2001,Teenage Mutant Ninja Turtles,,183991413010,17.99,1,"Oct 12, 2019",5in.,"TMNT Ninja Turtles Rocksteady 5"" Action Figure Complete Playmates 5009 1988",Action Figure,1988
9,0,Titan Sports,Sports,,Used,1980-2001,WWE,,123930825083,10.5,1,"Oct 12, 2019",8in.,"WWF Jimmy ""Superfly"" Snuka 1984 8"" Titan Sports Action Figure LJN",Action Figure,1984
10,0,McFarlane Toys,"TV, Movie & Video Games",Negan,New,,The Walking Dead,,303317246518,8.99,2,"Oct 12, 2019","7""",The Walking Dead AMC Negan Baseball Bat McFarlane Series 10 Action Figure ,Action Figure,
11,0,Hasbro,Military & Adventure,,New,,GI Joe,,113897548239,79.96,1,"Oct 12, 2019",,Hasbro G.I. Joe Mobile Artillery Cannon (Slugger) Action Figure BRAND NEW SEALED,Action Figure,
12,0,Unbranded,"TV, Movie & Video Games",,Used,,Teenage Mutant Ninja Turtles,,352821856484,18.99,1,"Oct 12, 2019",,Vintage Teenage Mutant Ninja Turtles Yellow Raphael Bootleg Figure,Action Figure,
13,0,Kidrobot,Designer & Urban Vinyl,,Used,,Dunny,,223581436123,12.99,1,"Oct 12, 2019",3in.,"Kidrobot - BFFs ""Will Make You LOL"" - Vinyl Minis - Travis Cain - Mo and Lolly",Action Figure,2017
14,1,MLB The Show 19,Sports,,New,,,,362772499860,9.99,1,"Oct 12, 2019",,"Francisco Lindor (Cleveland Indians) MLB The Show 19 7"" Figure",,
15,4,Hasbro,"TV, Movie & Video Games",SITH JET TROOPER,New,2002-Now,Star Wars,,133195989859,4.25,1,"Oct 12, 2019",4in.,STAR WARS 2019 THE RISE OF SKYWALKER SITH JET TROOPER VC159 ACTION FIGURE NM,Action Figure,2019
16,0,IRWIN,Anime & Manga,,Used,,Dragon Ball Z,,254201958158,27.6,1,"Oct 12, 2019",,Dragon Ball Z Action Figure And Accessories Lot IRWIN Fun Raditz Gold Hair Gohan,Action Figure,
17,0,Diamond Select,Comic Book Heroes,Doctor Strange,New,,Ghost Rider,,202798727773,15.29,1,"Oct 12, 2019",,MiniMates Marvel Avengers Secret Wars Doctor Strange & Ghost Rider Walgreens Exc,Action Figure,
18,0,Diamond Select,Comic Book Heroes,Venom,New,,Spider-Man,,202798731093,15.29,1,"Oct 12, 2019",,MiniMates Marvel Spider-Man Venom & Hammerhead Walgreens Exclusive,Action Figure,
