,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
0,0,1,Hasbro,Military & Adventure,Overkill,Used,,GI Joe,,143403454443,5.99,1,"Oct 12, 2019",3.75in.,1992 gi joe overkill (v1) talking battle commanders action figure! hasbro! works,Action Figure,1992,Auction
1,1,0,Hasbro,Military & Adventure,Road Pig,New,1980-2001,GI Joe,,192933991310,40.0,1,"Oct 12, 2019",3.75in.,gi joe sonic fighters road pig collectors club fss final 12 moc star case jtc,Action Figure,2019,BIN
2,2,9,Mattel,Sports,,New,,,,303312623335,40.0,1,"Oct 12, 2019",,wwe exclusive liv morgan elite action figure ,Action Figure,,Auction
3,3,0,21st Century Toys,Military & Adventure,Huey,Used,,Ultimate Soldier,,113916859329,45.5,1,"Oct 12, 2019",4in.,21st century toys 1 18 huey pilot,Action Figure,,BIN
4,4,0,McFarlane Toys,"TV, Movie & Video Games",,New,2002-Now,,,264318985546,22.99,1,"Oct 12, 2019",6in.,2002 mcfarlane's monsters frankenstein series 1 new in package,Action Figure,2002,BIN
5,5,1,Hasbro,Military & Adventure,,Used,,GI Joe,,254382610990,2.0,1,"Oct 12, 2019",3.75in.,gi joe cobra rock viper vintage action figure arah loose,Action Figure,1984,Auction
6,6,0,DC,"TV, Movie & Video Games",Batgirl,New,,Batman,,123932210147,40.0,1,"Oct 12, 2019",,batman vs tmnt - batgirl - gamestop exclusive,Action Figure,,BIN
7,7,19,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,133195959610,30.0,1,"Oct 12, 2019","6""",6 inch 2018 general veers walgreens exclusiv figure star wars black series loose,Action Figure,2016,Auction
8,8,0,Playmates Toys,"TV, Movie & Video Games",Rocksteady,Used,1980-2001,Teenage Mutant Ninja Turtles,,183991413010,17.99,1,"Oct 12, 2019",5in.,"tmnt ninja turtles rocksteady 5"" action figure complete playmates 5009 1988",Action Figure,1988,BIN
9,9,0,Titan Sports,Sports,,Used,1980-2001,WWE,,123930825083,10.5,1,"Oct 12, 2019",8in.,"wwf jimmy ""superfly"" snuka 1984 8"" titan sports action figure ljn",Action Figure,1984,BIN
10,10,0,McFarlane Toys,"TV, Movie & Video Games",Negan,New,,The Walking Dead,,303317246518,8.99,2,"Oct 12, 2019","7""",the walking dead amc negan baseball bat mcfarlane series 10 action figure ,Action Figure,,BIN
11,11,0,Hasbro,Military & Adventure,,New,,GI Joe,,113897548239,79.96,1,"Oct 12, 2019",,hasbro g.i. joe mobile artillery cannon (slugger) action figure brand new sealed,Action Figure,,BIN
12,12,0,Unbranded,"TV, Movie & Video Games",,Used,,Teenage Mutant Ninja Turtles,,352821856484,18.99,1,"Oct 12, 2019",,vintage teenage mutant ninja turtles yellow raphael bootleg figure,Action Figure,,BIN
13,13,0,Kidrobot,Designer & Urban Vinyl,,Used,,Dunny,,223581436123,12.99,1,"Oct 12, 2019",3in.,"kidrobot - bffs ""will make you lol"" - vinyl minis - travis cain - mo and lolly",Action Figure,2017,BIN
14,14,1,MLB The Show 19,Sports,,New,,,,362772499860,9.99,1,"Oct 12, 2019",,"francisco lindor (cleveland indians) mlb the show 19 7"" figure",,,Auction
15,15,4,Hasbro,"TV, Movie & Video Games",SITH JET TROOPER,New,2002-Now,Star Wars,,133195989859,4.25,1,"Oct 12, 2019",4in.,star wars 2019 the rise of skywalker sith jet trooper vc159 action figure nm,Action Figure,2019,Auction
16,16,0,IRWIN,Anime & Manga,,Used,,Dragon Ball Z,,254201958158,27.6,1,"Oct 12, 2019",,dragon ball z action figure and accessories lot irwin fun raditz gold hair gohan,Action Figure,,BIN
17,17,0,Diamond Select,Comic Book Heroes,Doctor Strange,New,,Ghost Rider,,202798727773,15.29,1,"Oct 12, 2019",,minimates marvel avengers secret wars doctor strange & ghost rider walgreens exc,Action Figure,,BIN
18,18,0,Diamond Select,Comic Book Heroes,Venom,New,,Spider-Man,,202798731093,15.29,1,"Oct 12, 2019",,minimates marvel spider-man venom & hammerhead walgreens exclusive,Action Figure,,BIN
19,19,0,McFarlane Toys,Sports,,New,2002-Now,,,123826561019,15.0,1,"Oct 12, 2019",6in.,mcfarlane willie mays and barry bonds action figure toy san francisco giants,Action Figure,2005,BIN
20,20,0,Mattel,Comic Book Heroes,Killer Croc,Used,,Batman,,303226624171,9.0,1,"Oct 12, 2019",6in.,batman power attack mission toxin blaster swamp raider killer croc figure,Action Figure,,BIN
21,21,3,Bandai,Transformers & Robots,Robot,Used,1980-2001,Gobots,,283634574406,5.5,1,"Oct 12, 2019",,go-bots hornet figure   bandai 1985 robot toy  open,Action Figure,1985,Auction
22,22,1,Mattel,"TV, Movie & Video Games",Jitsu,Used,,Masters of the Universe,,254383596400,3.99,1,"Oct 12, 2019",,"1983 he-man masters of the universe jitsu action figure, complete",Action Figure,1983,Auction
23,23,0,Hasbro,Transformers & Robots,Pounce,Used,1980-2001,Transformers,,293275850881,30.0,1,"Oct 12, 2019",,vintage g1 transformers pounce & wingspan clones  w/manual & weapons ,Action Figure,1987,BIN
24,24,0,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,264448841020,5.0,1,"Oct 12, 2019",,kenner action masters lot of - 4 - star wars die-cast figures 1994,Action Figure,1994,BIN
25,25,0,McFarlane Toys,Sports,,New,2002-Now,,,132994294731,19.99,1,"Oct 12, 2019",3in.,2006 mcfarlane dallas cowboys drew bledsoe 3” inch figure new in box (jr),Action Figure,2006,BIN
26,26,4,Unspecified,"TV, Movie & Video Games",Balista Shan,Used,2002-Now,Star Wars,,143403509240,11.01,1,"Oct 12, 2019",3.75in.,loose star wars the vintage collection knights of the old republic bastila shan,Action Figure,,Auction
27,27,0,DID,Military & Adventure,,Used,,,,183953569030,16.99,1,"Oct 12, 2019",,1/6 action figure metal and wood mp18 sub machine gun from did wwi german,Action Figure,,BIN
28,28,0,Hasbro,Military & Adventure,Cobra Commander,Used,,GI Joe,,392442528358,9.99,1,"Oct 12, 2019",3.75in.,gi joe 2008 25th cobra h.i.s.s. commander (100% w/filecard (hiss driver),Action Figure,2008,BIN
29,29,0,Funko,"TV, Movie & Video Games",Daedric Warrior,New,2002-Now,Skyrim,,233366734767,49.99,1,"Oct 12, 2019",6in.,funko the elder scrolls v skyrim legacy collection daedric warrior action figure,Action Figure,2015,BIN
30,30,0,Hasbro,Military & Adventure,Duke,Used,,GI Joe,,392442361618,14.99,1,"Oct 12, 2019",3.75in.,"gi joe 2015 50th h.i.s.s. ""hiss"" driver (v5) 100% w/filecard (tank driver)",Action Figure,2015,BIN
31,31,0,Hasbro,Comic Book Heroes,,New,2002-Now,AVENGERS,,292360788710,9.95,3,"Oct 12, 2019","4""","quasar action figure marvel legends series universe wave 3 mosc 3 3/4"" 2015",Action Figure,2015,BIN
32,32,5,Unbranded,"TV, Movie & Video Games",,New,,Super Mario Bros.,,392469494113,3.0,1,"Oct 12, 2019",1in.,8pcs super mario bros figures yoshi luigi goomba mini figures playset kids gift#,Action Figure,2019,Auction
33,33,0,Hot Toys,"TV, Movie & Video Games",,New,,,,202776842321,299.99,1,"Oct 12, 2019",,metal gear rising - raiden inferno armor 1/6th action figure vgm19 (hot toys),,,BIN
34,34,0,tokidoki,Designer & Urban Vinyl,,New,,,,333359305282,10.0,1,"Oct 12, 2019",,tokidoki unicorno metallico series 4 sdcc 2019 - lily,,2019,BIN
35,35,0,Hasbro,Military & Adventure,,New,,GI Joe,,163901911488,8.75,2,"Oct 12, 2019","12""","gi joe vintage id guide book 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 12""",Action Figure,"1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971",BIN
36,36,0,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,264247700620,26.78,1,"Oct 12, 2019",6in.,"snoke 2017 black series 6"" action figure toy new throne room star wars last jedi",Action Figure,,BIN
37,37,3,Mattel,Sports,,New,,WWE,,383199106340,15.5,1,"Oct 12, 2019",,wwe asuka nxt elite series take over asuka first in line figure new sealed,Action Figure,,Auction
38,38,0,Hasbro,Comic Book Heroes,Cyclops,New,,X-Men,,383208106386,12.99,2,"Oct 12, 2019",,hasbro marvel legends 80 years vintage wave 3 uncanny x-men cyclops new,Action Figure,,BIN
39,39,0,Hasbro,Sports,Demolition,Used,,WWF,,323946156984,16.95,1,"Oct 12, 2019",4.5in.,demolition- smash & crash action figures series 2 wwf hasbro,Action Figure,1990,BIN
40,40,6,Star Wars,"TV, Movie & Video Games",Sand People,New,2002-Now,Star Wars,,392469213588,22.0,1,"Oct 12, 2019",6in.,"star wars 40th anniversary sand people action figure black 6"" nib",Action Figure,,Auction
41,41,3,MEDICOM,"TV, Movie & Video Games",,Used,,Spider-Man,,202795354859,56.0,1,"Oct 12, 2019",,medicom 2014 mafex the amazing spider-man 2 dx set,Action Figure,2014,Auction
42,42,1,Hasbro,Military & Adventure,Lampreys,Used,,GI Joe,,223695286890,9.99,1,"Oct 12, 2019",3.75in.,vintage 1986 gi joe  lampreys cobra moray hydrofoil pilot  ,Action Figure,1986,Auction
43,43,0,Super7,"TV, Movie & Video Games",,Used,,,,174041539753,99.99,1,"Oct 12, 2019",3.75in.,lot (5) reaction horror series action figures crow scream friday 13th misfits,Action Figure,,BIN
44,44,0,Hasbro,"TV, Movie & Video Games",Darth Vader,Used,2002-Now,Star Wars,,264482912724,7.99,1,"Oct 12, 2019",3.75in.,star wars saga darth vader throne room duel loose complete,Action Figure,2005,BIN
45,45,3,Marvel,Comic Book Heroes,Hawkeye,New,2002-Now,Marvel Cinematic Universe,,264491466423,12.5,1,"Oct 12, 2019",6in.,"marvel legends hawkeye avengers endgame mcu target exclusive 2-pack 6"" loose",Action Figure,2019,Auction
