,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
0,0,JAKKS Pacific,Sports,Chris Benoit,Used,2002-Now,WWE,,29.95,1,"Oct 11, 2019",7 Inch,2005 Jakks WWE Deluxe Aggression Series 3 CHRIS BENOIT Wrestling Figure | Nice!,Action Figure,2005,BIN
1,0,,Comic Book Heroes,,Used,,,,9.99,1,"Oct 11, 2019",,DC Universe Legacy Edition BATMAN First Appearance Action Figure Loose ,,,BIN
2,0,Mattel,Comic Book Heroes,,New,,,,11.0,1,"Oct 11, 2019",,"2016 Mattel DC Multiverse Suicide Squad RICK FLAG 6"" Figure MOC",Action Figure,,BIN
3,0,Hasbro,"TV, Movie & Video Games",C-3PO,Used,2002-Now,Star Wars,,21.0,1,"Oct 11, 2019",3.75in.,Star Wars 30th Anniversary - C-3PO & Salacious Crumb # 30 - Used No Coiin,Action Figure,2007,BIN
4,0,Hasbro,"TV, Movie & Video Games",Dinosaur,Used,1980-2001,Jurassic Park,,16.99,1,"Oct 11, 2019",,Jurassic Park III 3 Re-Ak-A-Tak Alpha Raptor Velociraptor Toy JP3 Red,Action Figure,2001,BIN
5,1,Hasbro,Military & Adventure,Ted Williams,Used,,GI Joe,,9.99,1,"Oct 11, 2019",12in.,"GI JOE TED WILLIAMS KOREAN WAR FIGHTER PILOT 12"" ACTION FIGURE TOY HASBRO 1999",Action Figure,1999,Auction
6,0,Mattel,Sports,,New,,WWE,,38.0,1,"Oct 11, 2019",,WWE Elite Collection Sensational Sherri Collector’s Edition Action Figure,Action Figure,,BIN
7,0,Kenner,Sports,,New,1980-2001,,,11.0,2,"Oct 11, 2019",12in.,"Ken Griffey Jr. Seattle Mariners 1997 Kenner Starting Lineup 12"" Figure Doll NIB",Action Figure,1997,BIN
8,25,Remco,"TV, Movie & Video Games",McDonaldland Characters,New,,,,277.88,1,"Oct 11, 2019",,Vintage Toy Lot McDonaldland McDonalds Set Collection Complete Remco No Reserve!,Action Figure,1976,Auction
9,1,,Other Action Figures,,Used,,,,119.99,1,"Oct 11, 2019",,Rare 1987 BATTLE BEASTS Jump Up Hasboro Imperial,Action Figure,1987,Auction
